SEASON,CHAMPION,RUNNER_UP
2018-2019,Toronto Raptors,Golden State Warriors
2017-2018,Golden State Warriors,Cleveland Cavaliers
2016-2017,Golden State Warriors,Cleveland Cavaliers
2015-2016,Cleveland Cavaliers,Golden State Warriors
2014-2015,Golden State Warriors,Cleveland Cavaliers
2013-2014,San Antonio Spurs,Miami Heat
2012-2013,Miami Heat,San Antonio Spurs
2011-2012,Miami Heat,Oklahoma City Thunder
2010-2011,Dallas Mavericks,Miami Heat
2009-2010,Los Angeles Lakers,Boston Celtics
2008-2009,Los Angeles Lakers,Orlando Magic
2007-2008,Boston Celtics,Los Angeles Lakers
2006-2007,San Antonio Spurs,Cleveland Cavaliers
2005-2006,Miami Heat,Dallas Mavericks
2004-2005,San Antonio Spurs,Detroit Pistons
2003-2004,Detroit Pistons,Los Angeles Lakers
2002-2003,San Antonio Spurs,New Jersey Nets
2001-2002,Los Angeles Lakers,New Jersey Nets
2000-2001,Los Angeles Lakers,Philadelphia 76ers
1999-2000,Los Angeles Lakers,Indiana Pacers
1998-1999,San Antonio Spurs,New York Knicks
1997-1998,Chicago Bulls,Utah Jazz
1996-1997,Chicago Bulls,Utah Jazz
1995-1996,Chicago Bulls,Seattle SuperSonics
1994-1995,Houston Rockets,Orlando Magic
1993-1994,Houston Rockets,New York Knicks
1992-1993,Chicago Bulls,Phoenix Suns
1991-1992,Chicago Bulls,Portland Trail Blazers
1990-1991,Chicago Bulls,Los Angeles Lakers
1989-1990,Detroit Pistons,Portland Trail Blazers
1988-1989,Detroit Pistons,Los Angeles Lakers
1987-1988,Los Angeles Lakers,Detroit Pistons
1986-1987,Los Angeles Lakers,Boston Celtics
1985-1986,Boston Celtics,Houston Rockets
1984-1985,Los Angeles Lakers,Boston Celtics
1983-1984,Boston Celtics,Los Angeles Lakers
1982-1983,Philadelphia 76ers,Los Angeles Lakers
1981-1982,Los Angeles Lakers,Philadelphia 76ers
1980-1981,Boston Celtics,Houston Rockets
1979-1980,Los Angeles Lakers,Philadelphia 76ers
1978-1979,Seattle SuperSonics,Washington Bullets
1977-1978,Washington Bullets,Seattle SuperSonics
1976-1977,Portland Trail Blazers,Philadelphia 76ers
1975-1976,Boston Celtics,Phoenix Suns
1975-1976,New York Nets,Denver Nuggets
1974-1975,Golden State Warriors,Washington Bullets
1974-1975,Kentucky Colonels,Indiana Pacers
1973-1974,Boston Celtics,Milwaukee Bucks
1973-1974,New York Nets,Utah Stars
1972-1973,New York Knicks,Los Angeles Lakers
1972-1973,Indiana Pacers,Kentucky Colonels
1971-1972,Los Angeles Lakers,New York Knicks
1971-1972,Indiana Pacers,New York Nets
1970-1971,Milwaukee Bucks,Baltimore Bullets
1970-1971,Utah Stars,Kentucky Colonels
1969-1970,New York Knicks,Los Angeles Lakers
1969-1970,Indiana Pacers,Los Angeles Stars
1968-1969,Boston Celtics,Los Angeles Lakers
1968-1969,Oakland Oaks,Indiana Pacers
1967-1968,Boston Celtics,Los Angeles Lakers
1967-1968,Pittsburgh Pipers,New Orleans Buccaneers
1966-1967,Philadelphia 76ers,San Francisco Warriors
1965-1966,Boston Celtics,Los Angeles Lakers
1964-1965,Boston Celtics,Los Angeles Lakers
1963-1964,Boston Celtics,San Francisco Warriors
1962-1963,Boston Celtics,Los Angeles Lakers
1961-1962,Boston Celtics,Los Angeles Lakers
1960-1961,Boston Celtics,St. Louis Hawks
1959-1960,Boston Celtics,St. Louis Hawks
1958-1959,Boston Celtics,Minneapolis Lakers
1957-1958,St. Louis Hawks,Boston Celtics
1956-1957,Boston Celtics,St. Louis Hawks
1955-1956,Philadelphia Warriors,Fort Wayne Pistons
1954-1955,Syracuse Nationals,Fort Wayne Pistons
1953-1954,Minneapolis Lakers,Syracuse Nationals
1952-1953,Minneapolis Lakers,New York Knicks
1951-1952,Minneapolis Lakers,New York Knicks
1950-1951,Rochester Royals,New York Knicks
1949-1950,Minneapolis Lakers,Syracuse Nationals
1948-1949,Minneapolis Lakers,Washington Capitols
1947-1948,Baltimore Bullets,Philadelphia Warriors
1946-1947,Philadelphia Warriors,Chicago Stags
